name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
amsterdam,9/2/22,78,57.6,66.9,78,57.6,66.9,48.3,52.5,0.08,100,4.17,rain,0,0,21.5,12.7,88.6,1015.1,84.1,25,173.7,15.1,7,,2022-09-02T06:52:53,2022-09-02T20:26:13,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/3/22,79.7,59.2,68.5,79.7,59.2,68.5,48.9,50.9,0,0,0,,0,0,20,12.7,102.6,1011.3,38.2,25.4,175.4,15.2,7,,2022-09-03T06:54:33,2022-09-03T20:23:55,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/4/22,77.6,59.4,68.3,77.6,59.4,68.3,58.6,72.3,0,0,0,,0,0,14.9,8.4,128.8,1016.4,78,17.9,157.4,13.6,7,,2022-09-04T06:56:12,2022-09-04T20:21:36,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/5/22,83.4,60.2,71.1,82.3,60.2,70.9,56.9,64.2,0.021,100,8.33,rain,0,0,27.2,14.8,134.2,1018.3,90.9,22.7,178.5,15.4,7,,2022-09-05T06:57:51,2022-09-05T20:19:17,0.32,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/6/22,75.7,62.9,69.3,75.7,62.9,69.3,61.1,76.2,0.047,100,20.83,rain,0,0,27.9,11.5,143.1,1014.7,83.5,20.2,166.2,14.4,8,,2022-09-06T06:59:30,2022-09-06T20:16:58,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/7/22,74,60,66.2,74,60,66.2,59.9,81.4,0.618,100,29.17,rain,0,0,21.5,13.7,217.5,1012,85.4,17.8,141.2,12.3,6,,2022-09-07T07:01:10,2022-09-07T20:14:38,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/8/22,70.9,60.9,64.5,70.9,60.9,64.5,58.7,82.5,0.306,100,45.83,rain,0,0,22,16.6,197.3,1007.4,81.1,17.5,136.2,11.6,7,,2022-09-08T07:02:49,2022-09-08T20:12:18,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/9/22,64.4,56.7,60.8,64.4,56.7,60.8,57.5,88.8,0.191,100,41.67,rain,0,0,27.1,18.4,177.2,1006,92,15.7,83.8,7,4,,2022-09-09T07:04:28,2022-09-09T20:09:58,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/10/22,70.4,59.3,63.2,70.4,59.3,63.2,58.3,85,0.318,100,37.5,rain,0,0,17.5,12.8,0.2,1010.6,68,14.7,103.9,9.1,6,,2022-09-10T07:06:08,2022-09-10T20:07:37,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/11/22,71.4,52.4,62.2,71.4,52.4,62.2,56.4,83,0,0,0,,0,0,10.4,5.8,332.3,1018.5,43.6,13,192.4,16.6,8,,2022-09-11T07:07:47,2022-09-11T20:05:16,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
